task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.5,0.05,0,500,C1,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,640,4,0,True,True,1.2599739661509957,0.125,0.14583333333333334,0.14583333333333334,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,C1,640,8,4,True,True,1.3261505521856802,0.10416666666666667,0.041666666666666664,0.041666666666666664,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,C1,640,16,12,True,True,1.3527751156031491,0.0625,0.08333333333333333,0.08333333333333333,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,C1,768,4,0,True,True,1.2618103657521078,0.020833333333333332,0.041666666666666664,0.041666666666666664,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,768,8,4,True,True,1.259796284916877,0.041666666666666664,0.10416666666666667,0.10416666666666667,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,768,16,12,True,True,1.2949253588363505,0.0,0.020833333333333332,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,640,4,0,True,True,1.2791461301713547,0.08333333333333333,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,S,640,8,4,True,True,1.382532050900287,0.0,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,S,640,16,12,True,True,1.287103135278068,0.041666666666666664,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,0,500,S,768,4,0,True,True,1.193630843225238,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,768,8,4,True,True,1.2113987253838203,0.08333333333333333,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,768,16,12,True,True,1.2236485846498566,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,C1,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,C1,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,C1,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,C1,640,4,3,True,True,1.4844087677581852,0.10416666666666667,0.0,0.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,C1,640,8,7,True,True,1.557997147178573,0.0,0.0,0.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,C1,640,16,7,True,True,1.557997147178573,0.0,0.0,0.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,C1,768,4,3,True,True,1.3518957026234084,0.020833333333333332,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,C1,768,8,7,True,True,1.3443047797094339,0.041666666666666664,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,C1,768,16,7,True,True,1.3443047797094339,0.041666666666666664,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,S,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,S,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,S,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,5,505,S,640,4,3,True,True,1.420142628777988,0.10416666666666667,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,S,640,8,7,True,True,1.4842719450250115,0.0,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,S,640,16,7,True,True,1.4842719450250115,0.0,1.0,1.0,1.0,1.0,0.9930555555555555,1.0,1.0,0.9791666666666666
0.5,0.05,5,505,S,768,4,3,True,True,1.3454224553808507,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,S,768,8,7,True,True,1.336981568707358,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,S,768,16,7,True,True,1.336981568707358,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,640,4,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,640,8,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,640,16,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,768,4,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,768,8,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,768,16,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,640,4,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,640,8,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,640,16,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,768,4,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,768,8,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,768,16,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
