plane_z_m,scenario,plant_fault_source_class,sensor_fault_is_observation_side,n_steps,contact_active_steps,contact_active_fraction,contact_episode_count,first_contact_time_s,last_contact_time_s,peak_contact_force_n,contact_impulse_n_s,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_tip_workspace_radius_m,max_abs_gauge_microstrain,safety_incident_steps,any_safety_flag,contact_profile_gate_pass,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
0.05,healthy,healthy,False,1137,0,0.0,0,,,0.0,0.0,1.7816448206418505,1.8842341694984075,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,False,0,0,0,0,0,0,0
0.05,structure,structure,False,1137,0,0.0,0,,,0.0,0.0,1.7816426427783028,1.8842256539405873,3.4819002129995447,8.291844132151338,0.8000021611490538,38.854726872887824,0,False,False,0,0,0,0,0,0,0
0.05,actuator,actuator,False,1137,0,0.0,0,,,0.0,0.0,1.7659286367032863,1.8231478313281015,3.4819002129995447,8.291844132151338,0.8000021611490538,37.54093644337431,0,False,False,0,0,0,0,0,0,0
0.05,sensor,healthy,True,1137,0,0.0,0,,,0.0,0.0,1.7816448206418505,1.8842341694984075,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,False,0,0,0,0,0,0,0
0.075,healthy,healthy,False,1137,0,0.0,0,,,0.0,0.0,1.7816448206418505,1.8842341694984075,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,False,0,0,0,0,0,0,0
0.075,structure,structure,False,1137,0,0.0,0,,,0.0,0.0,1.7816426427783028,1.8842256539405873,3.4819002129995447,8.291844132151338,0.8000021611490538,38.854726872887824,0,False,False,0,0,0,0,0,0,0
0.075,actuator,actuator,False,1137,13,0.011433597185576077,1,2.051999999999906,2.0759999999999565,1.2198848084011542,0.012773976736488467,1.7206932562647217,1.910004323045114,3.4819002129995447,8.291844132151338,0.8000021611490538,37.54093644337431,0,False,True,0,0,0,0,0,0,0
0.075,sensor,healthy,True,1137,0,0.0,0,,,0.0,0.0,1.7816448206418505,1.8842341694984075,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,False,0,0,0,0,0,0,0
0.1,healthy,healthy,False,1137,19,0.016710642040457344,1,2.043999999999889,2.079999999999965,1.4090582365599251,0.01820253996999526,1.7102503529283966,2.0242293332189156,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
0.1,structure,structure,False,1137,19,0.016710642040457344,1,2.043999999999889,2.079999999999965,1.3714844635275314,0.01871727448201252,1.7080904987655292,2.0287224777111885,3.4819002129995447,8.291844132151338,0.8000021611490538,48.84956635049817,0,False,True,0,0,0,0,0,0,0
0.1,actuator,actuator,False,1137,23,0.020228671943711522,1,1.973999999999799,2.017999999999834,1.0782467483243368,0.015382142773094798,1.7069979321979334,2.0348644164418985,3.4819002129995447,8.291844132151338,0.8000021611490538,37.54093644337431,0,False,True,0,0,0,0,0,0,0
0.1,sensor,healthy,True,1137,19,0.016710642040457344,1,2.043999999999889,2.079999999999965,1.4090582365599251,0.01820253996999526,1.7102503529283966,2.0242293332189156,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
0.125,healthy,healthy,False,1137,25,0.02198768689533861,1,1.9859999999997977,2.033999999999868,1.4109618655061518,0.019166559082025556,1.715062854939918,2.165537214223483,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
0.125,structure,structure,False,1137,25,0.02198768689533861,1,1.9859999999997977,2.033999999999868,1.39740153364693,0.019366315179646536,1.7147342256818687,2.1679585363007554,3.4819002129995447,8.291844132151338,0.8000021611490538,50.46186730114032,0,False,True,0,0,0,0,0,0,0
0.125,actuator,actuator,False,1137,28,0.024626209322779244,1,1.8879999999998085,1.9419999999998026,0.9486576840921387,0.014197388114709615,1.781829035276059,2.104767468201552,3.4819002129995447,8.291844132151338,0.8000021611490538,37.54093644337431,0,False,True,0,0,0,0,0,0,0
0.125,sensor,healthy,True,1137,25,0.02198768689533861,1,1.9859999999997977,2.033999999999868,1.4109618655061518,0.019166559082025556,1.715062854939918,2.165537214223483,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
0.15,healthy,healthy,False,1137,28,0.024626209322779244,1,1.9219999999998048,1.9759999999997988,1.2416469743899035,0.018372750423388408,1.7624253786764745,2.2400114208443536,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
0.15,structure,structure,False,1137,27,0.023746701846965697,1,1.9219999999998048,1.973999999999799,1.1726277558002214,0.018252144723951064,1.7654333271275973,2.2403968006079276,3.4819002129995447,8.291844132151338,0.8000021611490538,43.03853366217636,0,False,True,0,0,0,0,0,0,0
0.15,actuator,actuator,False,1137,36,0.0316622691292876,2,1.6639999999998332,2.043999999999889,0.8072237834675806,0.016910391814185396,1.7076085320585568,2.084575947181987,3.4819002129995447,8.291844132151338,0.8000021611490538,37.54093644337431,0,False,False,0,0,0,0,0,0,0
0.15,sensor,healthy,True,1137,28,0.024626209322779244,1,1.9219999999998048,1.9759999999997988,1.2416469743899035,0.018372750423388408,1.7624253786764745,2.2400114208443536,3.4819002129995447,8.291844132151338,0.8000021611490538,38.85549757569606,0,False,True,0,0,0,0,0,0,0
