role,physical_source,estimator_source,sensor_seed,pair_id,action_id,structural_action,scope,multiplier_cap,classification_evaluations,command_changed_steps,command_changed_before_decision,tracking_integral_5s_m_s,safety_incident_steps,saturation_steps,contact_episode_count,contact_active_steps,peak_contact_force_n,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,predecision_hash,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
assessment,healthy,structure,15100,structural-recovery-assessment-healthy-15100,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6863518190782512,0,0,2,40,3.041257148902092,0.26392967346337404,0.2868316818965857,0.6265307545236798,1.2970477619427268,27.551164840451392,0a709260f7cf9bc6b6b9b410c8bcad96320c93e74a1fa69f7c8366175e280af7,0,0,0,0,0,0,0
assessment,healthy,healthy,15100,structural-recovery-assessment-healthy-15100,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8599695494256738,0,0,1,24,2.109321050554862,0.2726077982324302,0.2905807988388567,0.5833401723245313,1.2970477619427268,19.38963095771129,0a709260f7cf9bc6b6b9b410c8bcad96320c93e74a1fa69f7c8366175e280af7,0,0,0,0,0,0,0
assessment,healthy,structure,15101,structural-recovery-assessment-healthy-15101,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.685491272481148,0,0,2,40,3.0896387568787755,0.2643113089559952,0.28672567684002415,0.6225975724252208,1.2712336128937185,29.063803258839727,4d566a912bbbf8e542b891e6e8f645a6b909c176b88f2014875d2f1b417630e4,0,0,0,0,0,0,0
assessment,healthy,healthy,15101,structural-recovery-assessment-healthy-15101,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8603212151913527,0,0,1,24,2.0844074529585006,0.2728115172097718,0.2904048908692767,0.5813576374273932,1.2712336128937185,19.43674197070422,4d566a912bbbf8e542b891e6e8f645a6b909c176b88f2014875d2f1b417630e4,0,0,0,0,0,0,0
assessment,healthy,structure,15102,structural-recovery-assessment-healthy-15102,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6825287161101199,0,0,2,40,3.071126439850837,0.2645000795711554,0.2868095416400642,0.6400971140616551,1.2884408298279304,28.761076299828048,375acaf54de98bd92cefe888f30f44c78d4454ccd200b047e7ad1da4d10332dd,0,0,0,0,0,0,0
assessment,healthy,healthy,15102,structural-recovery-assessment-healthy-15102,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8605453100496538,0,0,1,25,2.064070837207575,0.2727785492361785,0.2895732704191172,0.5961145719819427,1.2884408298279304,18.619856764496845,375acaf54de98bd92cefe888f30f44c78d4454ccd200b047e7ad1da4d10332dd,0,0,0,0,0,0,0
assessment,healthy,structure,15103,structural-recovery-assessment-healthy-15103,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6936467710333634,0,0,1,26,3.015953142312018,0.26578996677519484,0.2871518342474513,0.609121373873478,1.3080210984981466,27.282633837328873,5c3306c0f51ffc0fea82025c8b7f17f016df0d607c22926cc88bd5ed1629672e,0,0,0,0,0,0,0
assessment,healthy,healthy,15103,structural-recovery-assessment-healthy-15103,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8604806857350351,0,0,1,24,2.0763521921275574,0.27295472837590573,0.29055622490232436,0.5747127739281765,1.3080210984981466,19.054541218590515,5c3306c0f51ffc0fea82025c8b7f17f016df0d607c22926cc88bd5ed1629672e,0,0,0,0,0,0,0
assessment,structure,structure,15100,structural-recovery-assessment-structure-15100,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6932233603438567,0,0,1,25,2.9578288978808818,0.265467128928059,0.28804489220260887,0.6094767441884308,1.3462557068550929,57.42546210371735,61e1a3098414ae7aef7d57dc394b80e2e2978d36e502eb8d9b738ef6b101e4b9,0,0,0,0,0,0,0
assessment,structure,structure,15100,structural-recovery-assessment-structure-15100,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.860080274393558,0,0,1,23,2.0646869270141455,0.2743476272088965,0.2895118119016429,0.565996167279037,1.3462557068550929,37.07261731319633,61e1a3098414ae7aef7d57dc394b80e2e2978d36e502eb8d9b738ef6b101e4b9,0,0,0,0,0,0,0
assessment,structure,structure,15101,structural-recovery-assessment-structure-15101,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6856886623955154,0,0,2,41,3.0284292616969566,0.26588325179266903,0.2874831432045717,0.6382589495319557,1.2551415118069453,57.90806740679777,07997762b7b7e954943eb0e95d6d9db8cdac25f097835d5377ed83f792292ac3,0,0,0,0,0,0,0
assessment,structure,structure,15101,structural-recovery-assessment-structure-15101,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8598059701164036,0,0,1,22,2.052573823000941,0.27439625570386594,0.29029116424076795,0.568586273552496,1.2551415118069453,39.97135861357748,07997762b7b7e954943eb0e95d6d9db8cdac25f097835d5377ed83f792292ac3,0,0,0,0,0,0,0
assessment,structure,structure,15102,structural-recovery-assessment-structure-15102,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.686299958556599,0,0,2,42,2.9573939950426933,0.2660005175235405,0.28708098628951007,0.6133872395548412,1.2911421593047034,57.066811793031746,ea7dba7014cb3dc595bfbbb69571991fc56537726927559013cc6704d78b2232,0,0,0,0,0,0,0
assessment,structure,structure,15102,structural-recovery-assessment-structure-15102,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8622108185580625,0,0,1,23,2.0559095014870796,0.2745448493033473,0.2901906241716494,0.5703942775980853,1.2911421593047034,36.354033378387385,ea7dba7014cb3dc595bfbbb69571991fc56537726927559013cc6704d78b2232,0,0,0,0,0,0,0
assessment,structure,structure,15103,structural-recovery-assessment-structure-15103,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6931980177525974,0,0,1,25,3.016659712191731,0.2654140124555955,0.28662767807922673,0.6147884356866307,1.3343373267942216,55.21517100826934,ac9574f28f3a697354786acdb9ee34cf563c0716ec2a6a4766df3c19acc8d9b7,0,0,0,0,0,0,0
assessment,structure,structure,15103,structural-recovery-assessment-structure-15103,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.860918159534833,0,0,1,23,2.0227156628216507,0.2744729495696694,0.2899850976260616,0.5727874380099252,1.3343373267942216,38.313239911120796,ac9574f28f3a697354786acdb9ee34cf563c0716ec2a6a4766df3c19acc8d9b7,0,0,0,0,0,0,0
